divison,lane,champion,tier,win_rate,pick_rate,ban_rate,counters,matches
Iron,Jungle,Skarner,S,60.19%,0.8%,0.0%,"Nidalee,Amumu,Cho'Gath,Xin Zhao,Nocturne,Sejuani,Trundle",422
Iron,Jungle,Rammus,S+,57.11%,4.1%,0.0%,"Elise,Nunu,Lillia,Wukong,Amumu,Sejuani,Warwick","2,180"
Iron,Mid,Mordekaiser,A,56.79%,0.7%,0.0%,"Tryndamere,Pyke,Azir,Galio,Leblanc,Morgana,Swain",361
Iron,Mid,Teemo,S,55.93%,1.0%,0.0%,"Vladimir,Anivia,Xerath,Karthus,Tristana,Ezreal,Diana",540
Iron,Top,Singed,S,55.54%,1.1%,0.0%,"Tahm Kench,Shen,Yone,Heimerdinger,Gangplank,Dr. Mundo,Yorick",596
Iron,Top,Yorick,S,55.47%,2.3%,0.0%,"Gragas,Camille,Sion,Cho'Gath,Illaoi,Volibear,Kayle","1,224"
Iron,Jungle,Zac,S,55.43%,1.2%,0.0%,"Trundle,Rammus,Shyvana,Ekko,Olaf,Viego,Warwick",626
Iron,Mid,Viktor,S,55.00%,1.2%,0.0%,"Ziggs,Swain,Orianna,Malzahar,Veigar,Akali,Kassadin",620
Iron,Supp,Swain,S+,54.92%,5.0%,0.0%,"Zyra,Neeko,Veigar,Xerath,Maokai,Blitzcrank,Lulu","2,620"
Iron,Supp,Rell,S,54.80%,2.2%,0.0%,"Brand,Swain,Rakan,Lulu,Soraka,Zyra,Thresh","1,177"
Iron,Mid,Brand,S,54.77%,2.3%,0.0%,"Vladimir,Vel'Koz,Teemo,Pyke,Xerath,Katarina,Talon","1,227"
Iron,Supp,Brand,S+,54.68%,8.8%,0.0%,"Galio,Xerath,Maokai,Swain,Zyra,Blitzcrank,Bard","4,607"
Iron,Mid,Morgana,S,54.62%,1.4%,0.0%,"Vel'Koz,Annie,Pantheon,Azir,Syndra,Leblanc,Viego",725
Iron,Mid,Swain,A,54.55%,0.8%,0.0%,"Viego,Malphite,Seraphine,Vel'Koz,Pantheon,Cassiopeia,Yasuo",440
Iron,Supp,Shen,A,54.19%,0.7%,0.0%,"Miss Fortune,Seraphine,Sett,Janna,Nami,Vel'Koz,Soraka",382
Iron,Top,Nasus,S+,54.19%,8.9%,0.0%,"Viego,Gragas,Wukong,Yorick,Poppy,Illaoi,Singed","4,669"
Iron,Supp,Teemo,A,53.81%,0.8%,0.0%,"Veigar,Zilean,Rakan,Karma,Braum,Nidalee,Blitzcrank",420
Iron,Top,Kled,A,53.64%,0.9%,0.0%,"Sion,Singed,Tahm Kench,Vladimir,Camille,Renekton,Volibear",494
Iron,Supp,Maokai,S,53.55%,2.4%,0.0%,"Neeko,Rell,Teemo,Zilean,Thresh,Nami,Senna","1,268"
Iron,Top,Teemo,S+,53.42%,10.8%,0.0%,"Sylas,Kayle,Cho'Gath,Nasus,Yone,Yorick,Sion","5,683"
Iron,Supp,Veigar,S,53.33%,2.0%,0.0%,"Xerath,Janna,Rell,Maokai,Braum,Malphite,Shaco","1,067"
Iron,Top,Wukong,S,53.26%,3.0%,0.0%,"Poppy,Rumble,Yorick,Shen,Illaoi,Yone,Yasuo","1,594"
Iron,Jungle,Warwick,S+,53.11%,15.5%,0.0%,"Wukong,Dr. Mundo,Kindred,Amumu,Elise,Nocturne,Xin Zhao","8,134"
Iron,Mid,Pyke,A,53.04%,1.5%,0.0%,"Kassadin,Ziggs,Neeko,Vladimir,Morgana,Malzahar,Veigar",805
Iron,Mid,Yasuo,S+,53.01%,18.4%,0.0%,"Renekton,Morgana,Cassiopeia,Garen,Malzahar,Viktor,Heimerdinger","9,659"
Iron,Supp,Shaco,S,53.01%,1.9%,0.0%,"Zyra,Seraphine,Karma,Rakan,Alistar,Shen,Lulu",981
Iron,Mid,Neeko,S,53.00%,4.3%,0.0%,"Vel'Koz,Morgana,Ziggs,Kassadin,Galio,Seraphine,Diana","2,268"
