rank,lane,champion,tier,win_rate,pick_rate,ban_rate,counters,matches
Iron,Supp,Swain,0,0.554,0.046,0.071,"Taric,Brand,Vel'Koz,Sett,Zilean,Alistar,Veigar",4834
Iron,Jungle,Dr. Mundo,1,0.5497,0.05,0.043,"Shyvana,Sejuani,Nidalee,Elise,Master Yi,Udyr,Amumu",5263
Iron,Mid,Xin Zhao,2,0.5482,0.009,0.027,"Vel'Koz,Anivia,Morgana,Pantheon,Azir,Viktor,Tristana",934
Iron,Supp,Brand,0,0.5444,0.075,0.168,"Alistar,Sona,Pyke,Sett,Malphite,Blitzcrank,Galio",7928
Iron,Mid,Diana,0,0.5418,0.06,0.076,"Viego,Xin Zhao,Galio,Brand,Fizz,Pyke,Morgana",6382
Iron,Adc,Veigar,2,0.5413,0.006,0.049,"Heimerdinger,Jinx,Draven,Tristana,Twitch,Ashe,Aphelios",678
Iron,Mid,Brand,1,0.5402,0.019,0.168,"Vel'Koz,Kassadin,Twisted Fate,Neeko,Swain,Anivia,Annie",1992
Iron,Top,Urgot,0,0.5397,0.066,0.092,"Teemo,Nasus,Volibear,Shen,Sion,Mordekaiser,Gnar",6985
Iron,Jungle,Master Yi,0,0.5383,0.208,0.446,"Rammus,Sejuani,Volibear,Warwick,Ekko,Nocturne,Jax",21969
Iron,Jungle,Volibear,1,0.5382,0.053,0.038,"Sejuani,Rammus,Udyr,Shyvana,Master Yi,Karthus,Dr. Mundo",5595
Iron,Jungle,Rammus,1,0.5368,0.037,0.068,"Olaf,Trundle,Dr. Mundo,Amumu,Sejuani,Karthus,Gragas",3951
Iron,Mid,Tristana,2,0.5348,0.013,0.201,"Seraphine,Yasuo,Veigar,Viktor,Ezreal,Akali,Heimerdinger",1380
Iron,Adc,Yasuo,1,0.534,0.02,0.331,"Senna,Tristana,Draven,Vayne,Kalista,Twitch,Kai'Sa",2135
Iron,Top,Yorick,2,0.5339,0.022,0.011,"Viego,Dr. Mundo,Sion,Warwick,Poppy,Ornn,Quinn",2330
Iron,Mid,Malzahar,1,0.5333,0.026,0.033,"Brand,Vel'Koz,Tristana,Talon,Katarina,Lucian,Yone",2730
Iron,Jungle,Amumu,1,0.5333,0.041,0.019,"Cho'Gath,Tryndamere,Volibear,Master Yi,Trundle,Nidalee,Hecarim",4352
Iron,Top,Nasus,0,0.5327,0.091,0.088,"Kled,Illaoi,Aatrox,Vayne,Teemo,Wukong,Malphite",9599
Iron,Mid,Garen,2,0.5316,0.007,0.093,"Teemo,Morgana,Veigar,Lux,Ekko,Lucian,Zoe",728
Iron,Mid,Nocturne,2,0.5304,0.007,0.064,"Cho'Gath,Annie,Sett,Malphite,Diana,Zoe,Ahri",741
Iron,Supp,Taric,2,0.5301,0.01,0.001,"Brand,Rakan,Leona,Zyra,Seraphine,Senna,Lux",1062
Iron,Jungle,Warwick,0,0.5301,0.159,0.105,"Trundle,Dr. Mundo,Amumu,Rammus,Jarvan IV,Udyr,Shyvana",16779
Iron,Top,Sion,2,0.5297,0.019,0.004,"Xin Zhao,Warwick,Kalista,Jax,Nasus,Aatrox,Akali",1973
Iron,Mid,Malphite,2,0.5289,0.01,0.071,"Illaoi,Xerath,Galio,Ekko,Tristana,Xin Zhao,Seraphine",1019
Iron,Mid,Swain,2,0.5285,0.008,0.071,"Teemo,Anivia,Heimerdinger,Neeko,Viego,Ziggs,Ryze",808
Iron,Supp,Rell,2,0.5277,0.02,0.02,"Neeko,Zyra,Brand,Swain,Galio,Rakan,Veigar",2130
Iron,Mid,Viego,1,0.5275,0.022,0.127,"Tristana,Heimerdinger,Malzahar,Pyke,Malphite,Azir,Pantheon",2273
Iron,Top,Garen,0,0.5263,0.142,0.093,"Yorick,Kalista,Singed,Volibear,Kayle,Dr. Mundo,Heimerdinger",15027
Iron,Supp,Leona,0,0.5259,0.096,0.161,"Vel'Koz,Maokai,Swain,Malphite,Xerath,Alistar,Shaco",10197
Iron,Top,Teemo,0,0.5257,0.105,0.238,"Sion,Yone,Pantheon,Heimerdinger,Yasuo,Sett,Xin Zhao",11089
Iron,Mid,Veigar,1,0.5254,0.078,0.049,"Swain,Ekko,Brand,Malzahar,Xerath,Teemo,Galio",8243
Iron,Mid,Yone,0,0.5248,0.153,0.241,"Xerath,Tristana,Xin Zhao,Lux,Pyke,Sett,Viego",16220
Iron,Supp,Xerath,2,0.5242,0.028,0.034,"Brand,Swain,Maokai,Zilean,Sett,Janna,Rell",2909
Iron,Mid,Viktor,2,0.5241,0.01,0.003,"Annie,Vladimir,Brand,Viego,Diana,Pyke,Heimerdinger",1017
Iron,Mid,Neeko,1,0.5228,0.038,0.031,"Tristana,Malphite,Diana,Vel'Koz,Viktor,Veigar,Malzahar",4017
Iron,Supp,Maokai,2,0.5224,0.021,0.008,"Rell,Teemo,Zyra,Braum,Zilean,Nautilus,Swain",2205
Iron,Adc,Tristana,0,0.5221,0.192,0.201,"Aphelios,Samira,Draven,Senna,Jhin,Miss Fortune,Jinx",20250
Iron,Top,Illaoi,0,0.522,0.052,0.205,"Yasuo,Yorick,Riven,Urgot,Akali,Garen,Teemo",5535
Iron,Top,Kled,2,0.5216,0.011,0.007,"Jayce,Shen,Sion,Wukong,Yone,Cho'Gath,Xin Zhao",1133
Iron,Adc,Samira,0,0.5209,0.074,0.148,"Jinx,Yasuo,Senna,Xayah,Sivir,Ashe,Vayne",7857
Iron,Mid,Yasuo,0,0.5208,0.18,0.331,"Brand,Sett,Xin Zhao,Viego,Pantheon,Malzahar,Veigar",19075
Iron,Supp,Zyra,2,0.5197,0.039,0.018,"Malphite,Swain,Brand,Nautilus,Galio,Xerath,Nami",4152
Iron,Jungle,Skarner,2,0.5191,0.008,0.004,"Trundle,Shyvana,Dr. Mundo,Graves,Jax,Rammus,Lillia",863
Iron,Adc,Kog'Maw,2,0.5178,0.011,0.002,"Samira,Twitch,Draven,Xayah,Miss Fortune,Tristana,Jhin",1126
Iron,Jungle,Udyr,1,0.5176,0.06,0.113,"Jarvan IV,Shyvana,Zac,Trundle,Hecarim,Amumu,Kindred",6377
Iron,Mid,Xerath,2,0.5176,0.017,0.034,"Tristana,Twisted Fate,Malzahar,Viego,Diana,Neeko,Leblanc",1789
Iron,Mid,Fizz,0,0.5169,0.052,0.133,"Malzahar,Viktor,Galio,Ziggs,Vel'Koz,Katarina,Neeko",5500
Iron,Top,Dr. Mundo,2,0.5166,0.013,0.043,"Camille,Warwick,Illaoi,Shyvana,Urgot,Yasuo,Vayne",1415
Iron,Jungle,Sejuani,2,0.5165,0.012,0.002,"Poppy,Jarvan IV,Trundle,Lillia,Amumu,Shyvana,Graves",1270
Iron,Adc,Miss Fortune,0,0.5161,0.273,0.105,"Yasuo,Samira,Senna,Tristana,Kai'Sa,Jhin,Sivir",28809
Iron,Top,Cho'Gath,1,0.5159,0.049,0.038,"Singed,Akali,Yasuo,Sylas,Renekton,Urgot,Yorick",5189
Iron,Supp,Veigar,2,0.5157,0.024,0.049,"Teemo,Bard,Maokai,Alistar,Taric,Karma,Brand",2583
Iron,Supp,Morgana,0,0.5154,0.183,0.3,"Brand,Shaco,Swain,Sett,Xerath,Neeko,Galio",19366
Iron,Top,Tahm Kench,2,0.5146,0.01,0.005,"Shen,Kayle,Yone,Xin Zhao,Cho'Gath,Maokai,Sylas",1094
Iron,Supp,Nautilus,1,0.5143,0.07,0.063,"Zilean,Rell,Lulu,Sona,Brand,Alistar,Morgana",7391
Iron,Top,Jax,1,0.5142,0.058,0.085,"Dr. Mundo,Ornn,Malphite,Cho'Gath,Illaoi,Yone,Urgot",6140
Iron,Adc,Sivir,1,0.5142,0.074,0.04,"Senna,Yasuo,Tristana,Lucian,Miss Fortune,Vayne,Jhin",7842
Iron,Supp,Blitzcrank,0,0.5142,0.097,0.291,"Rell,Shaco,Swain,Neeko,Zyra,Sona,Leona",10292
Iron,Jungle,Trundle,2,0.5133,0.019,0.003,"Graves,Shyvana,Master Yi,Volibear,Jax,Vi,Viego",1960
Iron,Jungle,Ekko,2,0.5132,0.036,0.05,"Tryndamere,Trundle,Skarner,Volibear,Udyr,Gragas,Elise",3786
Iron,Supp,Lux,0,0.5121,0.25,0.218,"Swain,Maokai,Galio,Shaco,Blitzcrank,Janna,Alistar",26409
