champion_chinese,champion_url,play_strats,counter_strats,champion_name_cn,champion_name_eng,play_strats_en,counter_strats_en
黑暗之女 安妮,https://lol.qq.com/data/info-defail.shtml?id=1,"
- Annie的终极必杀技和晕眩技能一起使用能够扭转局势。
- 使用碎裂之火技能杀死小兵，可以让Annie在游戏早期打到很多钱。
- 熔岩护盾能够有效地帮助Annie叠加嗜火技能所带来的晕眩，有时尽早升1级该技能是合算的。","
- Annie召唤的巨熊提伯斯能烧伤他附近的敌方单位。切记远离被召唤出的提伯斯。
- 召唤师技能惩戒也能够对提伯斯造成伤害。
- 留意Annie身上白色的漩涡能量，这意味着她已经准备好施放眩晕。",安妮,Annie,-Annie's ultimate nirvana and stun skills can be used together to reverse the situation.  -Killing creeps with the Shattering Fire skill can make Annie a lot of money in the early game.  -The lava shield can effectively help Annie superimpose the stun caused by the fire-suffering skill. Sometimes it is cost-effective to upgrade to 1 level as soon as possible. ,"-Tibbers, a giant bear summoned by Annie, can burn enemy units near him. Remember to stay away from the summoned Tibbers.  -Summoner skill punishment can also cause damage to Tibbers.  -Pay attention to the white whirlpool energy on Annie, which means she is ready to cast stun. "
狂战士 奥拉夫,https://lol.qq.com/data/info-defail.shtml?id=2,"
- Olaf可以在生命垂危时组合使用狂战之怒、残暴打击和诸神黄昏，来变得不可思议地强大。
- 激活残暴打击所获得的额外治愈能力，可以增强你的生命偷取，并从友军的治疗技能上获得更多治疗效果。","
- Olaf生命值越低，就越危险。保留你的限制技能来解决他。
- 在对线期阻止Olaf拿到他的斧头，能最大限度减少他所造成的骚扰。
- 在诸神黄昏的持续期间里，Olaf防御伤害的能力会降低，但是免疫控制技能。因此，如果你无法摆脱处在诸神黄昏状态下的Olaf的话，就尽量和队友一起集火掉他吧。",奥拉夫,Olaf,"-Olaf can use a combination of Fury of Furious War, Brutal Strike and Twilight of the Gods to become incredibly powerful when his life is dying.  -Activating the extra healing ability gained from Cruel Strike can enhance your life stealing and gain more healing effects from the healing skills of allies. ","-The lower Olaf's health, the more dangerous. Keep your restricted skills to solve him.  -Preventing Olaf from getting his axe during the laning phase can minimize the harassment he causes.  -During the duration of Ragnarok, Olaf's ability to defend against damage will be reduced, but will be immune to control skills. Therefore, if you can't get rid of Olaf in the Twilight state of the gods, try to gather fire with your teammates. "
正义巨像 加里奥,https://lol.qq.com/data/info-defail.shtml?id=3,"
- 即使在被控制的情况下，你也可以施放【W杜朗护盾】。
- 你可以使用小地图上的友军图标来施放【R英雄登场】。
你可以利用【E正义冲拳】的小后跳来躲避敌方的技能。","
- Galio在积蓄【W杜朗护盾】时移动会变慢。
- 在Galio施放【R英雄登场】时，可以趁Galio还没跃至空中时打断这个技能。
- Galio无法用【E正义冲拳】翻越墙体。",加里奥,Galio,"-Even when under control, you can cast [W Durang Shield].  -You can use the friendly icon on the minimap to cast [R Hero is on the stage].  You can use the small back jump of [E Justice Punch] to dodge enemy skills. ","-Galio will slow down when accumulating [W Durang Shield].  -When Galio casts [R Hero Appears], you can interrupt this skill before Galio jumps into the air.  -Galio cannot use [E Justice Punch] to climb over the wall. "
卡牌大师 崔斯特,https://lol.qq.com/data/info-defail.shtml?id=4,"
- 与你的友军合作，争取最佳时机使用命运来伏击敌人。
- 潜行角色通常会在生命值较低时逃离战斗。利用命运技能发现潜行目标，并将其消灭。
- 卡牌大师可以作为物理系或法系角色，他能够配合不同的队伍构成。","
- 当你的英雄没有生命值时，早点躲避万能牌的攻击。
- 如果你的生命值很低，小心敌方的Twisted使用命运技能来击杀你。",崔斯特,Twisted,"-Work with your allies to fight for the best time to use destiny to ambush the enemy.  -Stealth characters usually flee the battle when their health is low. Use destiny skills to find sneak targets and destroy them.  -The card master can be used as a physics or legal role, and he can cooperate with different teams. ","-When your hero has no health, dodge the attack of the universal card early.  -If your health is low, beware of the enemy's Twisted using destiny skills to kill you. "
德邦总管 赵信,https://lol.qq.com/data/info-defail.shtml?id=5,"
- Xin Zhao是优秀的团战发起者。冲在阵型的前方来开始战斗，并使用你的终极技能来造成最大的伤害。
- 尽量移动到好的位置，好让你终极技能的击退效果的作用提升到最大。","
- Xin Zhao是个强劲的团战发起者，他的冲锋和终极技能都能够对附近敌方单位造成伤害。 在他使用终极技能时要和队友分散。
- Xin Zhao严重依赖他的三重爪击来获得伤害及减少冷却时间的效果，所以阻止他完成他的连招，将会有很显著的效果。",赵信,Xin Zhao,-Xin Zhao is an excellent teamfight initiator. Rush to the front of the formation to start the battle and use your ultimate skills to cause maximum damage.  -Move to a good position as much as possible to maximize the effect of your ultimate skill's knockback effect. ,"-Xin Zhao is a strong team battle initiator, his charge and ultimate skills can cause damage to nearby enemy units. When he uses ultimate skills, he must be dispersed with his teammates.  -Xin Zhao relies heavily on his triple claws to gain damage and reduce cooling time, so preventing him from completing his combos will have a significant effect. "
无畏战车 厄加特,https://lol.qq.com/data/info-defail.shtml?id=6,"
- 多注意你每条腿的冷却时间，因为它们是你伤害的重要构成部分。
- 命中【腐蚀电荷】或【鄙弃】就能用【净除】来锁定目标——这是一种可让多条腿快速地连续发射的好办法。
- 将【超越死亡的恐惧】留给那些看上去就虚弱得快死的敌人。这个技能在灭除那些逃命中的敌人时尤其有效。","
- Urgot严重依赖他的几条腿来打击对手，而这些腿都有独立的冷却时间并且只会在他攻击腿所面对的方向上的敌人时贡献火力。避免吃到多条腿的火力。
- Urgot可以用【净除】来造成并吸收海量的伤害，但在它开火时，Urgot自身会被减速。
- 如果你被【超越死亡的恐惧】所击中，要尽力避免限时内让血量降到斩杀线（你25%的最大生命值）。",厄加特,Urgot,"-Pay more attention to the cooling time of each of your legs, because they are an important part of your injury.  -Hit [Corrosion Charge] or [Despise] to lock the target with [Cleaning]-this is a good way to make multiple legs fire in rapid succession.  -Leave [Fear beyond death] for enemies who seem to be weak and dying. This skill is especially effective when destroying enemies who are fleeing. ","-Urgot relies heavily on several of his legs to hit opponents, and these legs have independent cooldowns and only contribute firepower when he attacks enemies in the direction the legs are facing. Avoid the firepower of multiple legs.  -Urgot can use [Clear] to cause and absorb massive damage, but when it fires, Urgot itself will be slowed.  -If you are hit by [Fear of Beyond Death], try to avoid dropping your blood to the kill line (25% of your maximum health) within a limited time. "
诡术妖姬 乐芙兰,https://lol.qq.com/data/info-defail.shtml?id=7,,,乐芙兰,LeBlanc,,
猩红收割者 弗拉基米尔,https://lol.qq.com/data/info-defail.shtml?id=8,,,弗拉基米尔,Vladimir,,
远古恐惧 费德提克,https://lol.qq.com/data/info-defail.shtml?id=9,,,费德提克,Fiddlesticks,,
正义天使 凯尔,https://lol.qq.com/data/info-defail.shtml?id=10,"
- 对高伤害输出的友军使用【R圣裁之刻】可以让其进行更加自由的输出，从而扭转战局。
- Kayle一旦从【登神长阶】中获得远程形态，就会变得极为强悍。在此之前请稳重发育。
- Kayle会从攻击力和法术强度中获益良多，因此，诸如纳什之牙或海克斯科技枪刃这类的混伤装备特别适合她。","
- 【圣裁之刻】只能让Kayle或她的友军免疫伤害。减速和晕眩技能仍可用。因此，如果他们太过激进，就诱捕他们。
- Kayle很脆弱，一旦她施放终极技能，则转而攻击她。
- Kayle在开始游戏时是一名较弱的近战英雄。尽量在她飞升成远程形态之前将她打崩。",凯尔,Kayle,"-Use [R Sacred Moment] on friendly forces with high damage output to allow them to output more freely, thus turning the situation around.  -Once Kayle gains a long-range form from [God's Long Step], Kayle will become extremely powerful. Before this, please develop steadily.  -Kayle will benefit a lot from attack power and spell power. Therefore, mixed damage equipment such as Nash's Fang or Hextech Gun Blade is particularly suitable for her. ","-[Sacred Moment] can only make Kayle or her allies immune to damage. Slow and stun skills are still available. Therefore, if they are too aggressive, trap them.  -Kayle is very fragile, once she casts her ultimate ability, she will attack her instead.  -Kayle is a weak melee hero at the beginning of the game. Try to destroy her before she soars into a remote form. "
