divison,lane,champion,tier,win_rate,pick_rate,ban_rate,counters,matches
Iron,Jungle,Karthus,A,68.18%,1.0%,0.3%,"Malphite,Warwick,Hecarim,Rammus,Vi,Udyr,Leesin",66
Iron,Jungle,Poppy,A,65.22%,0.7%,0.4%,"Sion,Rengar,Kayn,Kindred,Ivern,Amumu,Olaf",46
Iron,Supp,Shen,A,65.00%,0.6%,0.8%,"Swain,Blitzcrank,Maokai,Kayn,Zoe,Seraphine,Rakan",40
Iron,Top,Warwick,A,61.82%,0.8%,10.2%,"Jax,Malphite,Gangplank,Aatrox,Vayne,Drmundo,Teemo",55
Iron,Mid,Sett,A,59.62%,0.8%,10.8%,"Irelia,Nocturne,Heimerdinger,Pantheon,Lucian,Sylas,Pyke",52
Iron,Mid,Renekton,A,59.46%,0.6%,6.3%,"Ryze,Irelia,Talon,Ahri,Fizz,Diana,Velkoz",37
Iron,Supp,Teemo,S,59.26%,0.8%,27.1%,"Blitzcrank,Maokai,Nautilus,Morgana,Zyra,Lux,Seraphine",54
Iron,Supp,Taric,A,59.15%,1.1%,0.1%,"Maokai,Pantheon,Mordekaiser,Nautilus,Lulu,Velkoz,Jhin",71
Iron,Mid,Neeko,S,57.89%,4.6%,2.9%,"Velkoz,Anivia,Morgana,Katarina,Veigar,Galio,Zoe",304
Iron,Mid,Tristana,A,57.58%,1.0%,12.0%,"Viego,Qiyana,Pantheon,Malzahar,Kled,Galio,Shaco",66
Iron,Top,Vladimir,A,57.14%,0.5%,1.3%,"Jax,Wukong,Vayne,Yorick,Kennen,Garen,Riven",35
Iron,Adc,Yasuo,S,56.76%,1.7%,34.6%,"Sivir,Blitzcrank,Heimerdinger,Lux,Taliyah,Senna,Jinx",111
Iron,Supp,Shaco,S,56.56%,1.8%,12.0%,"Alistar,Tahmkench,Malphite,Xerath,Taric,Teemo,Swain",122
Iron,Top,Sion,A,56.52%,1.4%,0.4%,"Riven,Jax,Warwick,Kayle,Corki,Akali,Zed",92
Iron,Top,Tahm Kench,A,56.06%,1.0%,0.5%,"Viego,Karthus,Malzahar,Chogath,Sion,Galio,Aatrox",66
Iron,Mid,Teemo,A,55.77%,0.8%,27.1%,"Galio,Karthus,Janna,Pantheon,Ekko,Vi,Lux",52
Iron,Top,Wukong,S,55.66%,3.3%,1.3%,"Warwick,Heimerdinger,Poppy,Chogath,Sett,Sylas,Camille",221
Iron,Supp,Xerath,S,55.47%,2.1%,2.7%,"Viego,Tahmkench,Malzahar,Lulu,Ashe,Caitlyn,Karma",137
Iron,Top,Illaoi,S+,55.44%,6.0%,22.0%,"Xinzhao,Heimerdinger,Poppy,Shen,Riven,Gnar,Tahmkench",395
Iron,Supp,Brand,S+,55.34%,9.9%,19.5%,"Maokai,Lulu,Alistar,Rell,Karma,Zyra,Sona",656
Iron,Mid,Anivia,S,55.29%,2.6%,3.8%,"Twistedfate,Zoe,Twitch,Chogath,Tristana,Malphite,Pyke",170
Iron,Top,Tryndamere,S+,55.12%,7.4%,7.3%,"Kennen,Ornn,Viego,Fiora,Warwick,Ryze,Gragas",488
Iron,Mid,Galio,S,55.12%,3.8%,1.9%,"Pantheon,Cassiopeia,Annie,Ezreal,Ahri,Akali,Morgana",254
Iron,Mid,Malzahar,S,55.09%,2.5%,2.6%,"Zoe,Tryndamere,Pyke,Xerath,Seraphine,Heimerdinger,Mordekaiser",167
Iron,Mid,Swain,A,55.00%,0.9%,9.2%,"Galio,Twistedfate,Zilean,Anivia,Irelia,Lux,Graves",60
Iron,Supp,Sett,A,54.95%,1.7%,10.8%,"Missfortune,Veigar,Swain,Zoe,Neeko,Pantheon,Malphite",111
Iron,Top,Poppy,A,54.84%,1.4%,0.4%,"Xinzhao,Heimerdinger,Galio,Shaco,Ryze,Sylas,Malphite",93
Iron,Supp,Swain,S+,54.73%,5.3%,9.2%,"Veigar,Galio,Neeko,Lulu,Blitzcrank,Brand,Thresh",349
Iron,Supp,Neeko,A,54.44%,2.6%,2.9%,"Tahmkench,Xerath,Braum,Veigar,Annie,Rakan,Taric",169
Iron,Top,Nasus,S+,54.43%,8.5%,9.1%,"Illaoi,Quinn,Garen,Malphite,Camille,Wukong,Fiora",564
Iron,Supp,Malphite,S,54.41%,4.1%,6.8%,"Xerath,Karma,Zilean,Brand,Lulu,Velkoz,Nautilus",272
Iron,Mid,Vel'Koz,A,54.40%,1.9%,1.3%,"Orianna,Xinzhao,Xerath,Illaoi,Teemo,Wukong,Fizz",125
Iron,Supp,Rell,S,54.39%,2.6%,1.7%,"Janna,Kled,Galio,Sona,Rakan,Taric,Zyra",171
Iron,Jungle,Master Yi,S+,54.37%,19.7%,46.9%,"Karthus,Volibear,Drmundo,Vi,Hecarim,Olaf,Warwick","1,304"
Iron,Jungle,Rammus,S,54.25%,3.2%,5.9%,"Udyr,Olaf,Leesin,Volibear,Fiddlesticks,Ekko,Amumu",212
Iron,Top,Ornn,A,54.22%,2.5%,1.0%,"Viego,Tahmkench,Malzahar,Pyke,Warwick,Kayle,Yone",166
Iron,Mid,Mordekaiser,A,54.17%,0.7%,10.9%,"Annie,Anivia,Malphite,Gragas,Talon,Ahri,Yasuo",48
Iron,Top,Yorick,A,54.14%,2.4%,0.9%,"Viego,Fiora,Xinzhao,Sion,Neeko,Nautilus,Sylas",157
Iron,Mid,Diana,S+,54.08%,7.0%,7.3%,"Malzahar,Ryze,Twistedfate,Sett,Brand,Lucian,Heimerdinger",466
Iron,Supp,Braum,A,54.03%,1.9%,0.6%,"Ornn,Alistar,Orianna,Seraphine,Fiddlesticks,Galio,Shaco",124
Iron,Mid,Xerath,A,54.03%,1.9%,2.7%,"Ornn,Zoe,Qiyana,Pantheon,Jax,Ahri,Caitlyn",124
Iron,Mid,Cassiopeia,A,54.00%,2.3%,1.2%,"Twistedfate,Renekton,Ekko,Akali,Vayne,Illaoi,Velkoz",150
Iron,Jungle,Zac,A,53.92%,1.5%,0.4%,"Karthus,Maokai,Nocturne,Garen,Elise,Rammus,Urgot",102
Iron,Mid,Morgana,A,53.91%,1.7%,29.3%,"Twistedfate,Kassadin,Syndra,Shyvana,Diana,Ashe,Malphite",115
Iron,Top,Xin Zhao,A,53.85%,0.8%,1.0%,"Olaf,Tryndamere,Volibear,Rengar,Gnar,Lucian,Yone",52
Iron,Mid,Yasuo,S+,53.78%,18.8%,34.6%,"Xerath,Anivia,Renekton,Fizz,Ahri,Katarina,Azir","1,242"
Iron,Supp,Maokai,A,53.67%,2.7%,1.3%,"Tahmkench,Jarvaniv,Malzahar,Malphite,Heimerdinger,Braum,Shaco",177
Iron,Top,Shaco,A,53.66%,0.6%,12.0%,"Xinzhao,Kayle,Tryndamere,Trundle,Renekton,Wukong,Cassiopeia",41
Iron,Jungle,Volibear,A,53.62%,4.6%,3.2%,"Tryndamere,Udyr,Viego,Evelynn,Drmundo,Shaco,Nunu",304
Iron,Mid,Veigar,S,53.60%,8.0%,4.4%,"Galio,Cassiopeia,Ahri,Velkoz,Viego,Kassadin,Viktor",528
Iron,Jungle,Dr. Mundo,A,53.46%,3.3%,2.3%,"Diana,Rammus,Graves,Jax,Xinzhao,Ekko,Evelynn",217
Iron,Top,Malphite,S,53.44%,6.4%,6.8%,"Yorick,Illaoi,Akali,Gnar,Vayne,Camille,Mordekaiser",421
Iron,Jungle,Olaf,S,53.43%,7.0%,11.4%,"Nidalee,Gragas,Elise,Shaco,Nunu,Volibear,Graves",466
Iron,Mid,Pyke,A,53.33%,1.4%,28.5%,"Qiyana,Kayle,Cassiopeia,Neeko,Morgana,Sivir,Irelia",90
Iron,Top,Sett,S+,53.25%,11.4%,10.8%,"Ryze,Yorick,Kled,Nasus,Ornn,Fiora,Urgot",755
Iron,Mid,Ekko,S,53.09%,4.9%,6.9%,"Azir,Leblanc,Kassadin,Malzahar,Twistedfate,Viktor,Tristana",324
Iron,Jungle,Wukong,A,53.09%,1.2%,1.3%,"Twistedfate,Xinzhao,Fiddlesticks,Nunu,Rammus,Shaco,Drmundo",81
Iron,Jungle,Nocturne,S,53.07%,6.4%,4.5%,"Nidalee,Shyvana,Wukong,Shaco,Volibear,Graves,Jarvaniv",424
Iron,Top,Garen,S+,52.92%,14.7%,9.4%,"Singed,Malphite,Fiora,Shen,Warwick,Gangplank,Quinn",977
Iron,Supp,Janna,A,52.78%,1.6%,0.1%,"Galio,Zilean,Shaco,Veigar,Lulu,Zoe,Nami",108
Iron,Supp,Galio,A,52.68%,1.7%,1.9%,"Pantheon,Orianna,Maokai,Veigar,Zyra,Shen,Nautilus",112
Iron,Jungle,Graves,A,52.63%,3.2%,3.9%,"Malphite,Rammus,Shaco,Vi,Lillia,Viego,Masteryi",209
Iron,Jungle,Udyr,A,52.60%,5.5%,2.8%,"Graves,Ivern,Hecarim,Fiddlesticks,Gragas,Shen,Rengar",365
Iron,Top,Viego,S,52.55%,3.0%,21.4%,"Yasuo,Shyvana,Warwick,Gangplank,Kennen,Vayne,Wukong",196
Iron,Top,Urgot,S,52.47%,5.8%,6.8%,"Tristana,Yone,Brand,Wukong,Ornn,Akali,Xinzhao",385
Iron,Mid,Yone,S+,52.36%,12.1%,20.1%,"Annie,Pyke,Anivia,Neeko,Galio,Talon,Cassiopeia",804
Iron,Adc,Ashe,S+,52.32%,16.6%,7.0%,"Kalista,Yasuo,Twitch,Vayne,Draven,Missfortune,Caitlyn","1,097"
Iron,Mid,Fizz,S+,52.31%,7.5%,16.6%,"Tristana,Viego,Pantheon,Twistedfate,Irelia,Kassadin,Heimerdinger",497
Iron,Supp,Blitzcrank,S+,52.29%,9.9%,27.5%,"Rell,Rakan,Sett,Velkoz,Maokai,Zilean,Brand",654
Iron,Jungle,Warwick,S+,52.22%,14.6%,10.2%,"Gragas,Evelynn,Elise,Zac,Wukong,Fiddlesticks,Nidalee",969
Iron,Adc,Miss Fortune,S+,52.17%,32.3%,14.5%,"Yasuo,Jinx,Tristana,Samira,Varus,Caitlyn,Kaisa","2,139"
Iron,Mid,Lux,S,52.13%,7.4%,22.1%,"Xerath,Malzahar,Seraphine,Kassadin,Anivia,Velkoz,Pantheon",493
Iron,Mid,Heimerdinger,A,52.12%,2.5%,6.3%,"Soraka,Qiyana,Tristana,Veigar,Jayce,Cassiopeia,Morgana",165
Iron,Adc,Vayne,S+,52.06%,9.5%,12.3%,"Senna,Yasuo,Varus,Xayah,Tristana,Aphelios,Draven",630
Iron,Adc,Kalista,A,51.96%,1.5%,0.8%,"Sivir,Morgana,Twitch,Draven,Samira,Kaisa,Jinx",102
Iron,Top,Quinn,A,51.85%,2.4%,2.2%,"Tahmkench,Yasuo,Pantheon,Rengar,Tristana,Xinzhao,Sion",162
Iron,Supp,Seraphine,S+,51.81%,10.0%,10.6%,"Ashe,Malphite,Rell,Neeko,Blitzcrank,Janna,Pantheon",662
Iron,Adc,Varus,A,51.79%,4.2%,0.7%,"Draven,Caitlyn,Samira,Tristana,Ashe,Kaisa,Missfortune",280
Iron,Supp,Nautilus,S,51.52%,7.4%,6.8%,"Soraka,Janna,Bard,Sona,Thresh,Brand,Senna",493
Iron,Top,Singed,B,51.47%,1.0%,0.2%,"Tryndamere,Yorick,Yasuo,Aatrox,Ornn,Jax,Malphite",68
Iron,Jungle,Gragas,B,51.39%,1.1%,0.2%,"Fiddlesticks,Masteryi,Nunu,Amumu,Drmundo,Malphite,Nocturne",72
Iron,Top,Teemo,S+,51.32%,10.9%,27.1%,"Heimerdinger,Viego,Ornn,Kled,Quinn,Yasuo,Nasus",721
