champion_cn,champion,play_strats,counter_strats
安妮,Annie,-Annie's ultimate nirvana and stun skills can be used together to reverse the situation.  -Killing creeps with the Shattering Fire skill can make Annie a lot of money in the early game.  -The lava shield can effectively help Annie superimpose the stun caused by the fire-suffering skill. Sometimes it is cost-effective to upgrade to 1 level as soon as possible. ,"-Tibbers, a giant bear summoned by Annie, can burn enemy units near him. Remember to stay away from the summoned Tibbers.  -Summoner skill punishment can also cause damage to Tibbers.  -Pay attention to the white whirlpool energy on Annie, which means she is ready to cast stun. "
奥拉夫,Olaf,"-Olaf can use a combination of Fury of Furious War, Brutal Strike and Twilight of the Gods to become incredibly powerful when his life is dying.  -Activating the extra healing ability gained from Cruel Strike can enhance your life stealing and gain more healing effects from the healing skills of allies. ","-The lower Olaf's health, the more dangerous. Keep your restricted skills to solve him.  -Preventing Olaf from getting his axe during the laning phase can minimize the harassment he causes.  -During the duration of Ragnarok, Olaf's ability to defend against damage will be reduced, but will be immune to control skills. Therefore, if you can't get rid of Olaf in the Twilight state of the gods, try to gather fire with your teammates. "
加里奥,Galio,"-Even when under control, you can cast [W Durang Shield].  -You can use the friendly icon on the minimap to cast [R Hero is on the stage].  You can use the small back jump of [E Justice Punch] to dodge enemy skills. ","-Galio will slow down when accumulating [W Durang Shield].  -When Galio casts [R Hero Appears], you can interrupt this skill before Galio jumps into the air.  -Galio cannot use [E Justice Punch] to climb over the wall. "
崔斯特,Twisted,"-Work with your allies to fight for the best time to use destiny to ambush the enemy.  -Stealth characters usually flee the battle when their health is low. Use destiny skills to find sneak targets and destroy them.  -The card master can be used as a physics or legal role, and he can cooperate with different teams. ","-When your hero has no health, dodge the attack of the universal card early.  -If your health is low, beware of the enemy's Twisted using destiny skills to kill you. "
赵信,Xin Zhao,-Xin Zhao is an excellent teamfight initiator. Rush to the front of the formation to start the battle and use your ultimate skills to cause maximum damage.  -Move to a good position as much as possible to maximize the effect of your ultimate skill's knockback effect. ,"-Xin Zhao is a strong team battle initiator, his charge and ultimate skills can cause damage to nearby enemy units. When he uses ultimate skills, he must be dispersed with his teammates.  -Xin Zhao relies heavily on his triple claws to gain damage and reduce cooling time, so preventing him from completing his combos will have a significant effect. "
厄加特,Urgot,"-Pay more attention to the cooling time of each of your legs, because they are an important part of your injury.  -Hit [Corrosion Charge] or [Despise] to lock the target with [Cleaning]-this is a good way to make multiple legs fire in rapid succession.  -Leave [Fear beyond death] for enemies who seem to be weak and dying. This skill is especially effective when destroying enemies who are fleeing. ","-Urgot relies heavily on several of his legs to hit opponents, and these legs have independent cooldowns and only contribute firepower when he attacks enemies in the direction the legs are facing. Avoid the firepower of multiple legs.  -Urgot can use [Clear] to cause and absorb massive damage, but when it fires, Urgot itself will be slowed.  -If you are hit by [Fear of Beyond Death], try to avoid dropping your blood to the kill line (25% of your maximum health) within a limited time. "
乐芙兰,LeBlanc,,
弗拉基米尔,Vladimir,,
费德提克,Fiddlesticks,,
凯尔,Kayle,"-Use [R Sacred Moment] on friendly forces with high damage output to allow them to output more freely, thus turning the situation around.  -Once Kayle gains a long-range form from [God's Long Step], Kayle will become extremely powerful. Before this, please develop steadily.  -Kayle will benefit a lot from attack power and spell power. Therefore, mixed damage equipment such as Nash's Fang or Hextech Gun Blade is particularly suitable for her. ","-[Sacred Moment] can only make Kayle or her allies immune to damage. Slow and stun skills are still available. Therefore, if they are too aggressive, trap them.  -Kayle is very fragile, once she casts her ultimate ability, she will attack her instead.  -Kayle is a weak melee hero at the beginning of the game. Try to destroy her before she soars into a remote form. "
