champion,class,role,ratings
Aatrox,Fighter/Tank,Juggernaut,"{'Physical Damage': 3, 'Toughness': 3, 'Control': 2, 'Mobility': 2, 'Utility': 2}"
Ahri,Mage/Assassin,Burst,"{'Magic Damage': 3, 'Toughness': 1, 'Control': 2, 'Mobility': 3, 'Utility': 1}"
Akali,Assassin,Assassin,"{'Physical Damage': 3, 'Toughness': 1, 'Control': 1, 'Mobility': 3, 'Utility': 1}"
Alistar,Tank/Support,Vanguard,"{'Magic Damage': 1, 'Toughness': 3, 'Control': 3, 'Mobility': 1, 'Utility': 2}"
Amumu,Tank/Mage,Vanguard,"{'Magic Damage': 2, 'Toughness': 3, 'Control': 3, 'Mobility': 1, 'Utility': 1}"
Anivia,Mage/Support,Battlemage,"{'Magic Damage': 3, 'Toughness': 1, 'Control': 3, 'Mobility': 1, 'Utility': 2}"
Annie,Mage,Burst,"{'Magic Damage': 3, 'Toughness': 1, 'Control': 3, 'Mobility': 1, 'Utility': 2}"
Aphelios,Marksman,Marksman,"{'Physical Damage': 3, 'Toughness': 1, 'Control': 2, 'Mobility': 1, 'Utility': 1}"
Ashe,Marksman/Support,Marksman,"{'Physical Damage': 2, 'Toughness': 1, 'Control': 3, 'Mobility': 1, 'Utility': 2}"
Aurelion Sol,Mage,Battlemage,"{'Magic Damage': 3, 'Toughness': 1, 'Control': 2, 'Mobility': 2, 'Utility': 1}"
Azir,Mage/Marksman,Specialist,"{'Magic Damage': 3, 'Toughness': 1, 'Control': 2, 'Mobility': 2, 'Utility': 1}"
Bard,Support/Mage,Catcher,"{'Magic Damage': 1, 'Toughness': 1, 'Control': 3, 'Mobility': 2, 'Utility': 3}"
Blitzcrank,Tank/Fighter,Catcher,"{'Magic Damage': 1, 'Toughness': 2, 'Control': 3, 'Mobility': 1, 'Utility': 1}"
Brand,Mage,Burst,"{'Magic Damage': 3, 'Toughness': 1, 'Control': 2, 'Mobility': 1, 'Utility': 1}"
Braum,Support/Tank,Warden,"{'Magic Damage': 1, 'Toughness': 2, 'Control': 3, 'Mobility': 1, 'Utility': 2}"
Caitlyn,Marksman,Marksman,"{'Physical Damage': 3, 'Toughness': 1, 'Control': 2, 'Mobility': 2, 'Utility': 1}"
