champion_chinese,champion_url
黑暗之女 安妮,https://lol.qq.com/data/info-defail.shtml?id=1
狂战士 奥拉夫,https://lol.qq.com/data/info-defail.shtml?id=2
正义巨像 加里奥,https://lol.qq.com/data/info-defail.shtml?id=3
卡牌大师 崔斯特,https://lol.qq.com/data/info-defail.shtml?id=4
德邦总管 赵信,https://lol.qq.com/data/info-defail.shtml?id=5
无畏战车 厄加特,https://lol.qq.com/data/info-defail.shtml?id=6
诡术妖姬 乐芙兰,https://lol.qq.com/data/info-defail.shtml?id=7
猩红收割者 弗拉基米尔,https://lol.qq.com/data/info-defail.shtml?id=8
远古恐惧 费德提克,https://lol.qq.com/data/info-defail.shtml?id=9
正义天使 凯尔,https://lol.qq.com/data/info-defail.shtml?id=10
无极剑圣 易,https://lol.qq.com/data/info-defail.shtml?id=11
牛头酋长 阿利斯塔,https://lol.qq.com/data/info-defail.shtml?id=12
符文法师 瑞兹,https://lol.qq.com/data/info-defail.shtml?id=13
亡灵战神 赛恩,https://lol.qq.com/data/info-defail.shtml?id=14
战争女神 希维尔,https://lol.qq.com/data/info-defail.shtml?id=15
众星之子 索拉卡,https://lol.qq.com/data/info-defail.shtml?id=16
迅捷斥候 提莫,https://lol.qq.com/data/info-defail.shtml?id=17
麦林炮手 崔丝塔娜,https://lol.qq.com/data/info-defail.shtml?id=18
祖安怒兽 沃里克,https://lol.qq.com/data/info-defail.shtml?id=19
雪原双子 努努和威朗普,https://lol.qq.com/data/info-defail.shtml?id=20
赏金猎人 厄运小姐,https://lol.qq.com/data/info-defail.shtml?id=21
寒冰射手 艾希,https://lol.qq.com/data/info-defail.shtml?id=22
蛮族之王 泰达米尔,https://lol.qq.com/data/info-defail.shtml?id=23
武器大师 贾克斯,https://lol.qq.com/data/info-defail.shtml?id=24
堕落天使 莫甘娜,https://lol.qq.com/data/info-defail.shtml?id=25
时光守护者 基兰,https://lol.qq.com/data/info-defail.shtml?id=26
炼金术士 辛吉德,https://lol.qq.com/data/info-defail.shtml?id=27
痛苦之拥 伊芙琳,https://lol.qq.com/data/info-defail.shtml?id=28
瘟疫之源 图奇,https://lol.qq.com/data/info-defail.shtml?id=29
死亡颂唱者 卡尔萨斯,https://lol.qq.com/data/info-defail.shtml?id=30
虚空恐惧 科加斯,https://lol.qq.com/data/info-defail.shtml?id=31
殇之木乃伊 阿木木,https://lol.qq.com/data/info-defail.shtml?id=32
