index,play_strats,counter_strats
https://lol.qq.com/data/info-defail.shtml?id=1,"
- 安妮的终极必杀技和晕眩技能一起使用能够扭转局势。
- 使用碎裂之火技能杀死小兵，可以让安妮在游戏早期打到很多钱。
- 熔岩护盾能够有效地帮助安妮叠加嗜火技能所带来的晕眩，有时尽早升1级该技能是合算的。","
- 安妮召唤的巨熊提伯斯能烧伤他附近的敌方单位。切记远离被召唤出的提伯斯。
- 召唤师技能惩戒也能够对提伯斯造成伤害。
- 留意安妮身上白色的漩涡能量，这意味着她已经准备好施放眩晕。"
https://lol.qq.com/data/info-defail.shtml?id=2,"
- 奥拉夫可以在生命垂危时组合使用狂战之怒、残暴打击和诸神黄昏，来变得不可思议地强大。
- 激活残暴打击所获得的额外治愈能力，可以增强你的生命偷取，并从友军的治疗技能上获得更多治疗效果。","
- 奥拉夫生命值越低，就越危险。保留你的限制技能来解决他。
- 在对线期阻止奥拉夫拿到他的斧头，能最大限度减少他所造成的骚扰。
- 在诸神黄昏的持续期间里，奥拉夫防御伤害的能力会降低，但是免疫控制技能。因此，如果你无法摆脱处在诸神黄昏状态下的奥拉夫的话，就尽量和队友一起集火掉他吧。"
https://lol.qq.com/data/info-defail.shtml?id=3,"
- 即使在被控制的情况下，你也可以施放【W杜朗护盾】。
- 你可以使用小地图上的友军图标来施放【R英雄登场】。
你可以利用【E正义冲拳】的小后跳来躲避敌方的技能。","
- 加里奥在积蓄【W杜朗护盾】时移动会变慢。
- 在加里奥施放【R英雄登场】时，可以趁加里奥还没跃至空中时打断这个技能。
- 加里奥无法用【E正义冲拳】翻越墙体。"
https://lol.qq.com/data/info-defail.shtml?id=4,"
- 与你的友军合作，争取最佳时机使用命运来伏击敌人。
- 潜行角色通常会在生命值较低时逃离战斗。利用命运技能发现潜行目标，并将其消灭。
- 卡牌大师可以作为物理系或法系角色，他能够配合不同的队伍构成。","
- 当你的英雄没有生命值时，早点躲避万能牌的攻击。
- 如果你的生命值很低，小心敌方的崔斯特使用命运技能来击杀你。"
https://lol.qq.com/data/info-defail.shtml?id=5,"
- 赵信是优秀的团战发起者。冲在阵型的前方来开始战斗，并使用你的终极技能来造成最大的伤害。
- 尽量移动到好的位置，好让你终极技能的击退效果的作用提升到最大。","
- 赵信是个强劲的团战发起者，他的冲锋和终极技能都能够对附近敌方单位造成伤害。 在他使用终极技能时要和队友分散。
- 赵信严重依赖他的三重爪击来获得伤害及减少冷却时间的效果，所以阻止他完成他的连招，将会有很显著的效果。"
https://lol.qq.com/data/info-defail.shtml?id=6,"
- 多注意你每条腿的冷却时间，因为它们是你伤害的重要构成部分。
- 命中【腐蚀电荷】或【鄙弃】就能用【净除】来锁定目标——这是一种可让多条腿快速地连续发射的好办法。
- 将【超越死亡的恐惧】留给那些看上去就虚弱得快死的敌人。这个技能在灭除那些逃命中的敌人时尤其有效。","
- 厄加特严重依赖他的几条腿来打击对手，而这些腿都有独立的冷却时间并且只会在他攻击腿所面对的方向上的敌人时贡献火力。避免吃到多条腿的火力。
- 厄加特可以用【净除】来造成并吸收海量的伤害，但在它开火时，厄加特自身会被减速。
- 如果你被【超越死亡的恐惧】所击中，要尽力避免限时内让血量降到斩杀线（你25%的最大生命值）。"
https://lol.qq.com/data/info-defail.shtml?id=7,,
https://lol.qq.com/data/info-defail.shtml?id=8,,
https://lol.qq.com/data/info-defail.shtml?id=9,,
https://lol.qq.com/data/info-defail.shtml?id=10,"
- 对高伤害输出的友军使用【R圣裁之刻】可以让其进行更加自由的输出，从而扭转战局。
- 凯尔一旦从【登神长阶】中获得远程形态，就会变得极为强悍。在此之前请稳重发育。
- 凯尔会从攻击力和法术强度中获益良多，因此，诸如纳什之牙或海克斯科技枪刃这类的混伤装备特别适合她。","
- 【圣裁之刻】只能让凯尔或她的友军免疫伤害。减速和晕眩技能仍可用。因此，如果他们太过激进，就诱捕他们。
- 凯尔很脆弱，一旦她施放终极技能，则转而攻击她。
- 凯尔在开始游戏时是一名较弱的近战英雄。尽量在她飞升成远程形态之前将她打崩。"
https://lol.qq.com/data/info-defail.shtml?id=11,"
- 如果你在与远程玩家作战的兵线，升级冥想可以让你在线上呆得更久，比对手升级更快。
- 早期，无极剑道在给小兵们最后一击的时候很强。
- 试着在一名敌方英雄前使用阿尔法突袭来攻击小兵，这样在技能结束的时候，你就处于一个安全距离的位置了。","
- 冥想能够有效地治疗持续伤害，但易大师在游戏前期很容易被配合gank。
- 如果易大师试图用无极剑道补兵，则连续几次攻击他，令其不得不消耗法力使用冥想回复生命值。
- 虽然易大师在使用高原血统时不能被减速，但其它限制技能还能够阻止他。"
https://lol.qq.com/data/info-defail.shtml?id=12,"
- 使用大地粉碎可以让你在更好的位置施放野蛮冲撞。
- 移动速度对于阿利斯塔非常重要，因此买鞋时要慎重考虑。
- 使用闪现可以让你抓住毫无防备的目标，继而用大地粉碎与野蛮冲撞将他们撞回你的友军中。","
- 阿利斯塔具有很强的破坏力也很结实，尝试着攻击更脆弱的输出型英雄才是更好的选择。
- 在敌方防御塔附近时要小心大地粉碎和野蛮冲撞的连击。
- 当阿利斯塔使用终极技能时，你可以后退并等到效果消逝后，再对其进行攻击。"
https://lol.qq.com/data/info-defail.shtml?id=13,"
- 使用【Q超负荷】的被动来最大化伤害或移动速度。
【E法术涌动】的冷却时间很短，可以利用这点来将【涌动】效果散播到多个敌人身上。
在【R曲境折跃】的充能期间，瑞兹可以移动并施放其它技能，并且这么做不会导致传送门被取消。","
- 对那些身上带有【涌动】效果的人来说，瑞兹尤为危险。
- 要利用【曲境折跃】的施放时间来想好如何处理即将从传送门中出现的敌人。
- 在瑞兹施放【曲境折跃】期间，如果能用控制技能使他无法施法或无法移动，那么这个技能就会被取消。"
https://lol.qq.com/data/info-defail.shtml?id=14,"
- 在【R蛮横冲撞】进行时，你只有非常微弱的转向能力，所以请先规划好冲撞的直线。
-【E杀手怒吼】是一个强大的起手技能，可以为一记强劲的【Q残虐猛击】争取足够久的时间。
-【W灵魂熔炉】的增益状态会显示护盾的剩余生命值，利用这个信息来完美选择它的爆炸时机。","
- 即使会被赛恩的【Q残虐猛击】给命中，也要让赛恩提前放出这个技能，从而减少这个技能的影响力。
- 利用赛恩死后的时间来重新站位，并准备好迎接他的回光返照。"
https://lol.qq.com/data/info-defail.shtml?id=15,"
- 希维尔的回旋之刃在到达最远射程后会飞回她手中，因此在扔出后你可以调整位置使它更容易命中敌人。
- 弹射会立刻重置希维尔的普通攻击，所以在进行一次普攻之后立刻激活它，就能最大化伤害输出。
- 尽量留着法术护盾，来帮你抵挡那些可以限制你的技能，例如：晕眩和束缚。","
- 回旋之刃会消耗大量法力值，躲避该技能会让希维尔受挫。如果她在扔出去时击中了你，在其返回时你要避免再次被击中。
- 希维尔是一个强大的推线英雄，所以如果任由她独自推线的话，你将发现己方的防御塔很快就被摧毁了。
- 当你使用一个法师与希维尔对线时，你可以假装压上施法再退回，来诱骗她用掉法术护盾。"
https://lol.qq.com/data/info-defail.shtml?id=16,"
- 索拉卡是个很强大的盟友，用她的治疗技能让己方团队不停前进。
- 你可以在地图的任意位置用【R祈愿】拯救原本要丧命的队友。
- 【E星体结界】在限制敌方走位时非常强大。","
- 在团战中，如果索拉卡冲到前线治疗她的队友，那么就集中火力攻击索拉卡。
- 如果索拉卡将【E星体结界】用来压制，那么可以利用这个技能冷却时间长的特点来赚取优势。
- 集火索拉卡要比集火她正在治疗的友军更轻松。"
